"","Sample.Shorthand","Protein","Sample","Pep1","Pep2","Pep3","metric","Bay","Habitat","Region","Mean","Median","sd","Var","Min","Max"
"12","CI-B","Glycogen","G014",984.568459483424,1128.49944675336,1154.17348614345,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"13","CI-B","Ras-related","G012",386.294919605109,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"14","CI-B","Ras-related","G012",386.294919605109,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"15","CI-B","Ras-related","G012",386.294919605109,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"16","CI-B","Ras-related","G012",386.294919605109,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"17","CI-B","Peroxiredoxin-1","G015",1489.24376782312,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"18","CI-B","Peroxiredoxin-1","G015",1489.24376782312,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"19","CI-B","Peroxiredoxin-1","G015",1489.24376782312,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"20","CI-B","Peroxiredoxin-1","G015",1489.24376782312,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"21","CI-B","Arachidonate","G014",96.4520350133298,105.260588214049,130.759682624468,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"22","CI-B","Arachidonate","G014",96.4520350133298,105.260588214049,130.759682624468,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"23","CI-B","Arachidonate","G014",96.4520350133298,105.260588214049,130.759682624468,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"24","CI-B","Arachidonate","G014",96.4520350133298,105.260588214049,130.759682624468,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"25","CI-B","Glycogen","G017",1290.86156087418,1560.98196794759,1413.20225728557,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"26","CI-B","Glycogen","G017",1290.86156087418,1560.98196794759,1413.20225728557,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"27","CI-B","Glycogen","G017",1290.86156087418,1560.98196794759,1413.20225728557,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"28","CI-B","Glycogen","G017",1290.86156087418,1560.98196794759,1413.20225728557,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"29","CI-B","Glycogen","G012",801.744731796826,918.114604363744,924.82159161571,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"30","CI-B","Glycogen","G012",801.744731796826,918.114604363744,924.82159161571,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"31","CI-B","Glycogen","G012",801.744731796826,918.114604363744,924.82159161571,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"32","CI-B","Glycogen","G012",801.744731796826,918.114604363744,924.82159161571,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"33","CI-B","Ras-related","G014",647.539352136171,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"34","CI-B","Ras-related","G014",647.539352136171,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"35","CI-B","Ras-related","G014",647.539352136171,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"36","CI-B","Ras-related","G014",647.539352136171,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"37","CI-B","Superoxide","G015",3.32562069491845,3.53374596951037,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"38","CI-B","Superoxide","G015",3.32562069491845,3.53374596951037,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"39","CI-B","Superoxide","G015",3.32562069491845,3.53374596951037,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"40","CI-B","Superoxide","G015",3.32562069491845,3.53374596951037,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"41","CI-B","Superoxide","G016",4.01220033246366,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"42","CI-B","Superoxide","G016",4.01220033246366,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"43","CI-B","Superoxide","G016",4.01220033246366,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"44","CI-B","Superoxide","G016",4.01220033246366,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"45","CI-B","Superoxide","G017",4.19122323536974,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"46","CI-B","Superoxide","G017",4.19122323536974,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"47","CI-B","Superoxide","G017",4.19122323536974,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"48","CI-B","Superoxide","G017",4.19122323536974,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"49","CI-B","Superoxide","G014",3.71199519116899,3.56928019570096,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"50","CI-B","Superoxide","G014",3.71199519116899,3.56928019570096,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"51","CI-B","Superoxide","G014",3.71199519116899,3.56928019570096,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"52","CI-B","Superoxide","G014",3.71199519116899,3.56928019570096,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"53","CI-B","Arachidonate","G016",66.2464020664507,105.432938198093,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"54","CI-B","Arachidonate","G016",66.2464020664507,105.432938198093,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"55","CI-B","Arachidonate","G016",66.2464020664507,105.432938198093,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"56","CI-B","Arachidonate","G016",66.2464020664507,105.432938198093,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"57","CI-B","Catalase","G012",0.320218127395808,0.369689632497604,0.383177985758502,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"58","CI-B","Catalase","G012",0.320218127395808,0.369689632497604,0.383177985758502,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"59","CI-B","Catalase","G012",0.320218127395808,0.369689632497604,0.383177985758502,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"60","CI-B","Catalase","G012",0.320218127395808,0.369689632497604,0.383177985758502,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"61","CI-B","Catalase","G014",0.328284938813259,0.367032375612767,0.382517090652938,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"62","CI-B","Catalase","G014",0.328284938813259,0.367032375612767,0.382517090652938,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"63","CI-B","Catalase","G014",0.328284938813259,0.367032375612767,0.382517090652938,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"64","CI-B","Catalase","G014",0.328284938813259,0.367032375612767,0.382517090652938,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"65","CI-B","Arachidonate","G015",64.0923310684868,79.0035099392595,92.8102268415086,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"66","CI-B","Arachidonate","G015",64.0923310684868,79.0035099392595,92.8102268415086,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"67","CI-B","Arachidonate","G015",64.0923310684868,79.0035099392595,92.8102268415086,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"68","CI-B","Arachidonate","G015",64.0923310684868,79.0035099392595,92.8102268415086,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"69","CI-B","Catalase","G017",0.3112418547551,0.351128657373072,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"70","CI-B","Catalase","G017",0.3112418547551,0.351128657373072,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"71","CI-B","Catalase","G017",0.3112418547551,0.351128657373072,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"72","CI-B","Catalase","G017",0.3112418547551,0.351128657373072,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"73","CI-B","Cytochrome","G012",27.2321153036819,32.2342138198008,40.7913940885734,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"74","CI-B","Cytochrome","G012",27.2321153036819,32.2342138198008,40.7913940885734,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"75","CI-B","Cytochrome","G012",27.2321153036819,32.2342138198008,40.7913940885734,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"76","CI-B","Cytochrome","G012",27.2321153036819,32.2342138198008,40.7913940885734,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"77","CI-B","Cytochrome","G014",45.5450505877098,45.3672640275869,56.6926940317584,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"78","CI-B","Cytochrome","G014",45.5450505877098,45.3672640275869,56.6926940317584,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"79","CI-B","Cytochrome","G014",45.5450505877098,45.3672640275869,56.6926940317584,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"80","CI-B","Cytochrome","G014",45.5450505877098,45.3672640275869,56.6926940317584,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"81","CI-B","Sodium/potassium-transporting","G017",2284.89256137618,2085.38943561124,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"82","CI-B","Sodium/potassium-transporting","G017",2284.89256137618,2085.38943561124,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"83","CI-B","Sodium/potassium-transporting","G017",2284.89256137618,2085.38943561124,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"84","CI-B","Sodium/potassium-transporting","G017",2284.89256137618,2085.38943561124,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"85","CI-B","Cytochrome","G016",39.5096029416886,39.0212876549645,48.2887652794591,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"86","CI-B","Cytochrome","G016",39.5096029416886,39.0212876549645,48.2887652794591,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"87","CI-B","Cytochrome","G016",39.5096029416886,39.0212876549645,48.2887652794591,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"88","CI-B","Cytochrome","G016",39.5096029416886,39.0212876549645,48.2887652794591,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"89","CI-B","Cytochrome","G017",51.6134054105288,52.9465939415631,69.8197323333806,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"90","CI-B","Cytochrome","G017",51.6134054105288,52.9465939415631,69.8197323333806,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"91","CI-B","Cytochrome","G017",51.6134054105288,52.9465939415631,69.8197323333806,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"92","CI-B","Cytochrome","G017",51.6134054105288,52.9465939415631,69.8197323333806,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"93","CI-B","Glycogen","G015",769.726460207296,823.473861478128,927.377509426971,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"94","CI-B","Glycogen","G015",769.726460207296,823.473861478128,927.377509426971,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"95","CI-B","Glycogen","G015",769.726460207296,823.473861478128,927.377509426971,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"96","CI-B","Glycogen","G015",769.726460207296,823.473861478128,927.377509426971,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"97","CI-B","Glycogen","G016",952.948624803916,972.549092188641,1104.98712345707,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"98","CI-B","Glycogen","G016",952.948624803916,972.549092188641,1104.98712345707,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"99","CI-B","Glycogen","G016",952.948624803916,972.549092188641,1104.98712345707,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"100","CI-B","Glycogen","G016",952.948624803916,972.549092188641,1104.98712345707,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"101","CI-B","HSP70","G012",621.634739182629,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"102","CI-B","HSP70","G012",621.634739182629,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"103","CI-B","HSP70","G012",621.634739182629,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"104","CI-B","HSP70","G012",621.634739182629,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"105","CI-B","HSP70","G014",964.810727547854,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"106","CI-B","HSP70","G014",964.810727547854,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"107","CI-B","HSP70","G014",964.810727547854,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"108","CI-B","HSP70","G014",964.810727547854,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"109","CI-B","HSP70","G015",742.092376418438,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"110","CI-B","HSP70","G015",742.092376418438,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"111","CI-B","HSP70","G015",742.092376418438,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"112","CI-B","HSP70","G015",742.092376418438,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"113","CI-B","HSP70","G016",1119.04276467082,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"114","CI-B","HSP70","G016",1119.04276467082,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"115","CI-B","HSP70","G016",1119.04276467082,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"116","CI-B","HSP70","G016",1119.04276467082,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"117","CI-B","Catalase","G015",0.334036143471673,0.38130515876869,0.396768051429596,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"118","CI-B","Catalase","G015",0.334036143471673,0.38130515876869,0.396768051429596,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"119","CI-B","Catalase","G015",0.334036143471673,0.38130515876869,0.396768051429596,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"120","CI-B","Catalase","G015",0.334036143471673,0.38130515876869,0.396768051429596,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"121","CI-B","Catalase","G016",0.328071124539934,0.375062825206795,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"122","CI-B","Catalase","G016",0.328071124539934,0.375062825206795,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"123","CI-B","Catalase","G016",0.328071124539934,0.375062825206795,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"124","CI-B","Catalase","G016",0.328071124539934,0.375062825206795,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"125","CI-B","PDI","G012",41.9582959877808,77.5833341747958,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"126","CI-B","PDI","G012",41.9582959877808,77.5833341747958,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"127","CI-B","PDI","G012",41.9582959877808,77.5833341747958,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"128","CI-B","PDI","G012",41.9582959877808,77.5833341747958,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"129","CI-B","PDI","G014",59.2319353884235,85.4300889849711,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"130","CI-B","PDI","G014",59.2319353884235,85.4300889849711,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"131","CI-B","PDI","G014",59.2319353884235,85.4300889849711,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"132","CI-B","PDI","G014",59.2319353884235,85.4300889849711,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"133","CI-B","Cytochrome","G015",36.4048177927214,36.6803815355078,18.1808098542018,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"134","CI-B","Cytochrome","G015",36.4048177927214,36.6803815355078,18.1808098542018,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"135","CI-B","Cytochrome","G015",36.4048177927214,36.6803815355078,18.1808098542018,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"136","CI-B","Cytochrome","G015",36.4048177927214,36.6803815355078,18.1808098542018,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"137","CI-B","Peroxiredoxin-1","G012",1413.80656385518,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"138","CI-B","Peroxiredoxin-1","G012",1413.80656385518,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"139","CI-B","Peroxiredoxin-1","G012",1413.80656385518,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"140","CI-B","Peroxiredoxin-1","G012",1413.80656385518,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"141","CI-B","Peroxiredoxin-1","G014",2220.15630080407,NA,NA,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"142","CI-B","Peroxiredoxin-1","G014",2220.15630080407,NA,NA,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"143","CI-B","Peroxiredoxin-1","G014",2220.15630080407,NA,NA,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"144","CI-B","Peroxiredoxin-1","G014",2220.15630080407,NA,NA,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"145","CI-B","Puromycin-sensitive","G012",16.7384991943396,18.0653070007059,19.4094290063532,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"146","CI-B","Puromycin-sensitive","G012",16.7384991943396,18.0653070007059,19.4094290063532,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"147","CI-B","Puromycin-sensitive","G012",16.7384991943396,18.0653070007059,19.4094290063532,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"148","CI-B","Puromycin-sensitive","G012",16.7384991943396,18.0653070007059,19.4094290063532,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"149","CI-B","Puromycin-sensitive","G014",25.1538355479801,26.5629201043929,29.7060724333906,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"150","CI-B","Puromycin-sensitive","G014",25.1538355479801,26.5629201043929,29.7060724333906,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"151","CI-B","Puromycin-sensitive","G014",25.1538355479801,26.5629201043929,29.7060724333906,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"152","CI-B","Puromycin-sensitive","G014",25.1538355479801,26.5629201043929,29.7060724333906,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"153","CI-B","Puromycin-sensitive","G015",20.5164615716127,22.4175395830851,24.9049298852038,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"154","CI-B","Puromycin-sensitive","G015",20.5164615716127,22.4175395830851,24.9049298852038,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"155","CI-B","Puromycin-sensitive","G015",20.5164615716127,22.4175395830851,24.9049298852038,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"156","CI-B","Puromycin-sensitive","G015",20.5164615716127,22.4175395830851,24.9049298852038,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"157","CI-B","Puromycin-sensitive","G016",26.0759070198907,NA,31.0871368330214,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"158","CI-B","Puromycin-sensitive","G016",26.0759070198907,NA,31.0871368330214,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"159","CI-B","Puromycin-sensitive","G016",26.0759070198907,NA,31.0871368330214,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
"160","CI-B","Puromycin-sensitive","G016",26.0759070198907,NA,31.0871368330214,"pH","CI","B","South",7.65219455511288,7.64,0.173875929275941,0.0302328387815719,7.29,8.12
"161","CI-B","Puromycin-sensitive","G017",27.5494225022016,29.6026088699765,34.8065306363758,"Temperature","CI","B","South",16.0789540816327,16,1.68300651808546,2.83251093991814,12.4,28
"162","CI-B","Puromycin-sensitive","G017",27.5494225022016,29.6026088699765,34.8065306363758,"Salinity","CI","B","South",29.7035019455253,29.7,2.31150775722925,5.34306811173098,23.1,35.6
"163","CI-B","Puromycin-sensitive","G017",27.5494225022016,29.6026088699765,34.8065306363758,"DO","CI","B","South",9.20913981673071,9.28,2.17271488284099,4.72068996211875,2.95,15.49
