"","Df","Sum Sq","Mean Sq","F value","Pr(>F)","Protein","Comparison","P.adj"
"HSP70.Bay",1,1.31473249506816,1.31473249506816,2.1826054506802,0.15686149225142,"HSP70","Bay",2.19606089151988
"HSP70.Habitat",1,0.384111038195056,0.384111038195056,0.637668003777068,0.434966705474145,"HSP70","Habitat",6.08953387663802
"HSP70.Bay:Habitat",1,0.201013019374883,0.201013019374883,0.333704470978759,0.570642175638166,"HSP70","Bay:Habitat",7.98899045893432
"HSP70.Residuals",18,10.8426307209358,0.60236837338532,NA,NA,"HSP70","Residuals",NA
"HSP90-alpha.Bay",1,46015.5445050461,46015.5445050461,2.19695324957287,0.143349006755039,"HSP90-alpha","Bay",2.00688609457054
"HSP90-alpha.Habitat",1,31887.9106666461,31887.9106666461,1.52244746236775,0.221906413390414,"HSP90-alpha","Habitat",3.1066897874658
"HSP90-alpha.Bay:Habitat",1,39873.0626840873,39873.0626840873,1.90368832046793,0.172621880594345,"HSP90-alpha","Bay:Habitat",2.41670632832083
"HSP90-alpha.Residuals",62,1298600.12263234,20945.1632682636,NA,NA,"HSP90-alpha","Residuals",NA
"PDI.Bay",1,0.53781803726994,0.53781803726994,0.671160280371803,0.417625770902694,"PDI","Bay",5.84676079263772
"PDI.Habitat",1,0.588914161641885,0.588914161641885,0.73492476349228,0.396529051902739,"PDI","Habitat",5.55140672663835
"PDI.Bay:Habitat",1,0.377543939889441,0.377543939889441,0.471149122917368,0.496519954560681,"PDI","Bay:Habitat",6.95127936384953
"PDI.Residuals",39,31.2517055417943,0.80132578312293,NA,NA,"PDI","Residuals",NA
"Peroxiredoxin-1.Bay",1,304.105420947282,304.105420947282,1.12604319670343,0.302652235495826,"Peroxiredoxin-1","Bay",4.23713129694157
"Peroxiredoxin-1.Habitat",1,244.904970414693,244.904970414693,0.906835448428676,0.353568940724762,"Peroxiredoxin-1","Habitat",4.94996517014667
"Peroxiredoxin-1.Bay:Habitat",1,47.4808783207186,47.4808783207186,0.175812452931633,0.679958421718883,"Peroxiredoxin-1","Bay:Habitat",9.51941790406436
"Peroxiredoxin-1.Residuals",18,4861.17903209779,270.065501783211,NA,NA,"Peroxiredoxin-1","Residuals",NA
"Puromycin-sensitive.Bay",1,0.108432449375936,0.108432449375936,1.20575003352561,0.276421604174799,"Puromycin-sensitive","Bay",3.86990245844719
"Puromycin-sensitive.Habitat",1,0.0955760129179382,0.0955760129179382,1.0627886895786,0.306584909664627,"Puromycin-sensitive","Habitat",4.29218873530478
"Puromycin-sensitive.Bay:Habitat",1,0.118750702325837,0.118750702325837,1.32048721701518,0.25491843671646,"Puromycin-sensitive","Bay:Habitat",3.56885811403044
"Puromycin-sensitive.Residuals",62,5.57562651825149,0.0899294599717982,NA,NA,"Puromycin-sensitive","Residuals",NA
"Ras-related.Bay",1,93.0791332764217,93.0791332764217,0.251047344096635,0.622410486321716,"Ras-related","Bay",8.71374680850402
"Ras-related.Habitat",1,230.815697380676,230.815697380676,0.622541978674717,0.440373693825549,"Ras-related","Habitat",6.16523171355769
"Ras-related.Bay:Habitat",1,184.927237068437,184.927237068437,0.498774430776957,0.489080456644998,"Ras-related","Bay:Habitat",6.84712639302997
"Ras-related.Residuals",18,6673.73879219641,370.763266233134,NA,NA,"Ras-related","Residuals",NA
"Sodium/potassium-transporting.Bay",1,2.33794963102273,2.33794963102273,1.66607218040283,0.20419634427645,"Sodium/potassium-transporting","Bay",2.8587488198703
"Sodium/potassium-transporting.Habitat",1,1.32047024463903,1.32047024463903,0.940994925831841,0.3378515182942,"Sodium/potassium-transporting","Habitat",4.72992125611879
"Sodium/potassium-transporting.Bay:Habitat",1,0.256454447376462,0.256454447376462,0.182754844092854,0.671309075704204,"Sodium/potassium-transporting","Bay:Habitat",9.39832705985885
"Sodium/potassium-transporting.Residuals",40,56.1308125427663,1.40327031356916,NA,NA,"Sodium/potassium-transporting","Residuals",NA
"Superoxide.Bay",1,0.000165795966668702,0.000165795966668702,0.20449307207706,0.654482886074199,"Superoxide","Bay",9.16276040503878
"Superoxide.Habitat",1,0.000990840189203153,0.000990840189203153,1.22210424233328,0.278035392276306,"Superoxide","Habitat",3.89249549186828
"Superoxide.Bay:Habitat",1,0.000782185523409119,0.000782185523409119,0.964749166279496,0.334117159259877,"Superoxide","Bay:Habitat",4.67764022963828
"Superoxide.Residuals",29,0.023512205008004,0.000810765689931172,NA,NA,"Superoxide","Residuals",NA
"Trifunctional.Bay",1,45.9514424326719,45.9514424326719,2.19025990285408,0.146719583100914,"Trifunctional","Bay",2.05407416341279
"Trifunctional.Habitat",1,13.3620130419037,13.3620130419037,0.636895815185257,0.429549786056935,"Trifunctional","Habitat",6.01369700479709
"Trifunctional.Bay:Habitat",1,4.91565091480447,4.91565091480447,0.23430283197093,0.630991262127118,"Trifunctional","Bay:Habitat",8.83387766977965
"Trifunctional.Residuals",40,839.196158826513,20.9799039706628,NA,NA,"Trifunctional","Residuals",NA
