Box #,Round,Bay,Spp,Habitat,Exclosure,Rep,PRVial,Sample Shorthand,MS/MS Start Date,File Name rep 1,File Name rep 2,File Name rep 3,File Name rep 4,Notes
2,1,PG,Pg,E,PGE-2,1,G071,PG-E,7/18/17,153,226,,,
2,1,PG,Pg,E,PGE-2,2,G072,PG-E,7/18/17,195,264,,,
2,1,PG,Pg,E,PGE-2,3,G073,PG-E,7/18/17,189,260,297_170728065636,,
2,1,PG,Pg,E,PGE-2,4,G074,PG-E,7/18/17,179,255,,,
2,1,PG,Pg,E,PGE-3,1,G028,PG-E,,,,,,
2,1,PG,Pg,E,PGE-3,2,G029,PG-E,,,,,,
2,1,PG,Pg,E,PGE-3,3,G030,PG-E,,,,,,
2,1,PG,Pg,E,PGE-3,4,G031,PG-E,7/18/17,158,230,233,,
2,1,PG,Pg,E,PGE-3,5,G032,PG-E,7/18/17,173,248,,,
1,1,SK,Pg,B,SKB-6,1,G091,SK-B,,,,,,
1,1,SK,Pg,B,SKB-6,2,G092,SK-B,1/23/17,geoduck8,geoduck19,,,
2,1,SK,Pg,E,SKE-1,1,G093,SK-E,,,,,,
2,1,SK,Pg,E,SKE-1,2,G094,SK-E,,,,,,
2,1,SK,Pg,E,SKE-1,3,G095,SK-E,,,,,,
2,1,SK,Pg,E,SKE-1,4,G096,SK-E,,,,,,
2,1,SK,Pg,E,SKE-1,5,G097,SK-E,1/23/17,geoduck5,geoduck17,,,
2,1,SK,Pg,E,SKE-2,3,G100,SK-E,,,,,,
2,1,SK,Pg,E,SKE-2,1,G098,SK-E,,,,,,
2,1,SK,Pg,E,SKE-2,2,G099,SK-E,,,,,,
2,1,SK,Pg,E,SKE-3,1,G101,SK-E,,,,,,
2,1,SK,Pg,E,SKE-3,2,G102,SK-E,,,,,,
2,1,SK,Pg,E,SKE-3,3,G103,SK-E,,,,,,
1,1,WB,Pg,B,WBB-4,1,G104,WB-B,7/18/17,184,213,289,295_170728043038,
1,1,WB,Pg,B,WBB-4,2,G105,WB-B,7/18/17,172,247,,,
1,1,WB,Pg,B,WBB-4,3,G106,WB-B,,,,,,
1,1,WB,Pg,B,WBB-4,4,G107,WB-B,,,,,,
1,1,WB,Pg,B,WBB-4,5,G108,WB-B,,,,,,
1,1,WB,Pg,B,WBB-5,1,G119,WB-B,1/23/17,geoduck7,geoduck11,,,
1,1,WB,Pg,B,WBB-5,2,G120,WB-B,7/18/17,141,203,,,
1,1,WB,Pg,B,WBB-5,3,G121,WB-B,,,,,,
1,1,WB,Pg,B,WBB-5,4,G122,WB-B,7/18/17,168,249,,,
1,1,WB,Pg,B,WBB-5,5,G123,WB-B,,,,,,
1,1,WB,Pg,B,WBB-6,1,G114,WB-B,7/18/17,154,227,287,297,
1,1,WB,Pg,B,WBB-6,2,G115,WB-B,,,,,,
1,1,WB,Pg,B,WBB-6,3,G116,WB-B,7/18/17,160,235,,,
1,1,WB,Pg,B,WBB-6,4,G117,WB-B,,,,,,
1,1,WB,Pg,B,WBB-6,5,G118,WB-B,,,,,,
2,1,WB,Pg,E,WBE-1,1,G129,WB-E,7/18/17,174,251,,,
2,1,WB,Pg,E,WBE-1,2,G130,WB-E,,,,,,
2,1,WB,Pg,E,WBE-1,3,G131,WB-E,1/23/17,geoduck2,n/a,,,"Tissue sample likely jumped out of tube; no protein in this sample to analyze, did not do 2nd rep on Lumos"
2,1,WB,Pg,E,WBE-1,4,G132,WB-E,7/18/17,156,229,232,,
2,1,WB,Pg,E,WBE-2,1,G124,WB-E,,,,,,
2,1,WB,Pg,E,WBE-2,2,G125,WB-E,,,,,,
2,1,WB,Pg,E,WBE-2,3,G126,WB-E,,,,,,
2,1,WB,Pg,E,WBE-2,4,G127,WB-E,7/18/17,146,208,290,,
2,1,WB,Pg,E,WBE-2,5,G128,WB-E,7/18/17,150,,266,292,
2,1,WB,Pg,E,WBE-3,1,G109,WB-E,7/18/17,167,242,295,,
2,1,WB,Pg,E,WBE-3,2,G110,WB-E,7/18/17,165,240,,,
2,1,WB,Pg,E,WBE-3,3,G111,WB-E,,,,,,
2,1,WB,Pg,E,WBE-3,4,G112,WB-E,,,,,,
2,1,WB,Pg,E,WBE-3,5,G113,WB-E,,,,,,
3,2,CI,Pg,B,CIB-4,1,G020,CI-B,,,,,,
3,2,CI,Pg,B,CIB-5,1,G085,CI-B,,,,,,
3,2,CI,Pg,B,CIB-5,2,G086,CI-B,,,,,,
3,2,CI,Pg,B,CIB-6,1,G082,CI-B,,,,,,
3,2,CI,Pg,B,CIB-6,2,G083,CI-B,,,,,,
3,2,CI,Pg,B,CIB-6,3,G084,CI-B,,,,,,
4,2,CI,Pg,E,CIE-1,1,G022,CI-E,,,,,,
4,2,CI,Pg,E,CIE-1,2,G023,CI-E,,,,,,
4,2,CI,Pg,E,CIE-1,3,G024,CI-E,,,,,,
4,2,CI,Pg,E,CIE-2,1,G087,CI-E,,,,,,
4,2,CI,Pg,E,CIE-2,2,G088,CI-E,,,,,,
4,2,CI,Pg,E,CIE-2,3,G089,CI-E,,,,,,
4,2,CI,Pg,E,CIE-3,1,G021,CI-E,,,,,,
3,2,FB,Pg,B,FBB-4,1,G189,FB-B,,,,,,
3,2,FB,Pg,B,FBB-4,2,G190,FB-B,,,,,,
3,2,FB,Pg,B,FBB-4,3,G191,FB-B,,,,,,
3,2,FB,Pg,B,FBB-4,4,G192,FB-B,,,,,,
3,2,FB,Pg,B,FBB-4,5,G193,FB-B,,,,,,
3,2,FB,Pg,B,FBB-6,1,G179,FB-B,,,,,,
3,2,FB,Pg,B,FBB-6,2,G180,FB-B,,,,,,
3,2,FB,Pg,B,FBB-6,3,G187,FB-B,,,,,,
3,2,FB,Pg,B,FBB-6,4,G188,FB-B,,,,,,
4,2,FB,Pg,E,FBE-1,1,G033,FB-E,,,,,,
4,2,FB,Pg,E,FBE-1,2,G034,FB-E,,,,,,
4,2,FB,Pg,E,FBE-1,3,G035,FB-E,,,,,,
4,2,FB,Pg,E,FBE-2,2,G136,FB-E,,,,,,
4,2,FB,Pg,E,FBE-2,3,G178,FB-E,,,,,,
4,2,FB,Pg,E,FBE-2,1,G090,FB-E,,,,,,
3,2,PG,Pg,B,PGB-4,1,G205,PG-B,,,,,,
3,2,PG,Pg,B,PGB-4,2,G206,PG-B,,,,,,
3,2,PG,Pg,B,PGB-4,3,G207,PG-B,,,,,,
3,2,PG,Pg,B,PGB-4,4,G208,PG-B,,,,,,
3,2,PG,Pg,B,PGB-4,5,G209,PG-B,,,,,,
3,2,PG,Pg,B,PGB-5,1,G204,PG-B,,,,,,
3,2,PG,Pg,B,PGB-6,1,G200,PG-B,,,,,,
3,2,PG,Pg,B,PGB-6,2,G201,PG-B,,,,,,
3,2,PG,Pg,B,PGB-6,3,G202,PG-B,,,,,,
3,2,PG,Pg,B,PGB-6,4,G203,PG-B,,,,,,
4,2,PG,Pg,E,PGE-2,1,G198,PG-E,,,,,,
4,2,PG,Pg,E,PGE-2,2,G199,PG-E,,,,,,
4,2,PG,Pg,E,PGE-3,1,G194,PG-E,,,,,,
4,2,PG,Pg,E,PGE-3,2,G195,PG-E,,,,,,
4,2,PG,Pg,E,PGE-3,3,G196,PG-E,,,,,,
4,2,PG,Pg,E,PGE-3,4,G197,PG-E,,,,,,
4,2,SK,Pg,B,SKB-5,1,G025,SK-B,,,,,,
4,2,SK,Pg,B,SKB-6,1,G026,SK-B,,,,,,
4,2,SK,Pg,E,SKE-1,1,G152,SK-E,,,,,,
4,2,SK,Pg,E,SKE-2,1,G027,SK-E,,,,,,
4,2,SK,Pg,E,SKE-3,1,G151,SK-E,,,,,,
3,2,WB,Pg,B,WBB-4,1,G145,WB-B,,,,,,
3,2,WB,Pg,B,WBB-4,2,G146,WB-B,,,,,,
3,2,WB,Pg,B,WBB-4,3,G147,WB-B,,,,,,
3,2,WB,Pg,B,WBB-5,1,G141,WB-B,,,,,,
3,2,WB,Pg,B,WBB-5,2,G142,WB-B,,,,,,
3,2,WB,Pg,B,WBB-5,3,G143,WB-B,,,,,,
3,2,WB,Pg,B,WBB-5,4,G144,WB-B,,,,,,
3,2,WB,Pg,B,WBB-6,1,G148,WB-B,,,,,,
3,2,WB,Pg,B,WBB-6,2,G149,WB-B,,,,,,
3,2,WB,Pg,B,WBB-6,3,G150,WB-B,,,,,,
4,2,WB,Pg,E,WBE-1,1,G136,WB-E,,,,,,
4,2,WB,Pg,E,WBE-1,2,G137,WB-E,,,,,,
4,2,WB,Pg,E,WBE-2,1,G138,WB-E,,,,,,
4,2,WB,Pg,E,WBE-2,2,G139,WB-E,,,,,,
4,2,WB,Pg,E,WBE-2,3,G140,WB-E,,,,,,
4,2,WB,Pg,E,WBE-3,1,G126,WB-E,,,,,,
4,2,WB,Pg,E,WBE-3,2,G133,WB-E,,,,,,
4,2,WB,Pg,E,WBE-3,3,G134,WB-E,,,,,,
4,2,WB,Pg,E,WBE-3,4,G135,WB-E,,,,,,
,,,,,,,BLANK,-,1/23/17,geoduck21,n/a,,,
,,,,,,,,-,,,,,,
